professional_sector,profession,one_liner,degree_dependency,class12_prerequisite,years_to_qualify,cost_of_entry_lakh,early_earnings_lpa,mid_career_lpa,ai_exposure,india_demand,self_employment,licensing_body,ship
Engineering & Making,Mason & Construction Technician,"Builds walls, floors and structures on construction sites.",certificate,any,2,0.2,1.5-3.0,2.0-4.0,low,high,common,,yes
Engineering & Making,AC & Refrigeration Technician,"Installs and repairs air conditioners, fridges and cold storage systems.",certificate,any,2,0.4,1.8-4.0,3.5-6.0,low,high,common,,yes
Engineering & Making,Automobile Mechanic,"Diagnoses and repairs cars, bikes and commercial vehicles.",certificate,any,2,0.4,1.8-3.5,3.0-5.5,low,high,common,,NO
Engineering & Making,Heavy Equipment Operator,"Operates excavators, cranes and earthmoving machines on sites and mines.",certificate,any,2,0.5,2.0-5.0,4.0-7.0,low,high,possible_later,,yes
Engineering & Making,Land Surveyor,Measures land and sites precisely so that construction can be planned.,certificate,any,2,0.4,2.0-4.5,4.0-6.5,low,moderate,common,,yes
Engineering & Making,CAD Draughtsman,Turns engineers' and architects' ideas into precise technical drawings.,certificate,any,2,0.4,1.8-3.5,3.0-4.5,high,declining,possible_later,,NO
Engineering & Making,Textile Engineer,Runs the machines and chemistry that turn fibre into fabric.,undergrad,physics + maths,4,6.0,3-5.5,6-12,low,low,possible_later,,yes
Engineering & Making,Biomedical Engineer,Designs and looks after the machines that hospitals use to diagnose and treat.,undergrad,physics + maths,4,6.0,2.5-4.5,5-9,low,moderate,rare,,yes
Engineering & Making,Fire & Safety Engineer,"Stops industrial accidents and fires before they happen, and plans what to do if they do.",undergrad,physics + maths,4,6.0,3-5,6-12,low,high,possible_later,,yes
Engineering & Making,Drone Pilot & Operator,"Flies drones for a living — spraying crops, surveying land, inspecting bridges and towers.",certificate,any,1,0.8,2.5-5,5-9,low,high,common,Directorate General of Civil Aviation (DGCA),yes
Engineering & Making,Precision Manufacturing Technician,"Works in dust-free cleanrooms making chips, medicines and precision parts.",certificate,any,2,1.0,2.5-5,5-10,low,high,rare,,yes
Engineering & Making,Nuclear Engineer,"Designs and runs nuclear reactors, and keeps the radiation safely contained.",undergrad,physics + maths,5,6.0,8-12,14-25,low,moderate,rare,,yes
Engineering & Making,Urban & Regional Planner,"Decides how a city or region grows - land use, zoning, transport, and what may be built.",undergrad,maths,4,6.0,3.0-6.0,7.0-16.0,medium,moderate,possible_later,,yes
Science & Research,Physicist,"Studies how matter and energy behave, from particles to galaxies.",undergrad,physics + maths,9,3.0,8-14,14-24,low,low,rare,,yes
Science & Research,Chemist,Studies what substances are made of and creates new ones.,undergrad,chemistry,9,3.0,7-12,12-22,low,moderate,rare,,yes
Science & Research,Biologist,"Studies how living things work, from cells to whole ecosystems.",undergrad,biology,9,3.0,6-11,11-20,low,moderate,rare,,yes
Science & Research,Microbiologist,"Studies bacteria, viruses and fungi — how they live and how to control them.",undergrad,biology,5,2.5,4-8,8-15,low,moderate,rare,,yes
Science & Research,Biotechnologist,"Uses living cells and enzymes to make medicines, vaccines and materials.",undergrad,biology,5,4.0,5-10,10-18,low,moderate,rare,,yes
Science & Research,Bioinformatics Scientist,Uses computers to make sense of genetic and biological data.,undergrad,biology,5,4.0,6-12,12-22,medium,moderate,possible_later,,yes
Science & Research,Geologist,"Studies rocks and the earth to find minerals, water and oil.",undergrad,physics + chemistry,5,3.0,6-12,12-22,low,moderate,rare,,yes
Science & Research,Atmospheric & Ocean Scientist,"Studies weather, climate and the sea to forecast and understand them.",undergrad,physics + maths,9,3.0,6-11,11-19,low,low,rare,,yes
Science & Research,Astronomer & Space Scientist,"Studies stars, planets and space, and builds the instruments that observe them.",undergrad,physics + maths,9,3.0,8-14,14-25,low,low,rare,,yes
Science & Research,Materials Scientist,"Designs new materials — stronger metals, better batteries, semiconductors.",undergrad,physics + chemistry + maths,9,4.0,7-13,13-24,low,moderate,rare,,yes
Science & Research,Statistician,Designs studies and works out what data actually proves.,undergrad,maths,5,3.0,6-12,12-25,medium,high,possible_later,,yes
Science & Research,Research Psychologist,"Studies how the mind and behaviour work, through experiments and data.",undergrad,any,9,3.0,5-9,9-16,low,low,possible_later,,yes
Science & Research,Forensic Scientist,Analyses evidence from crime scenes to work out what happened.,undergrad,chemistry,5,3.0,4-8,8-14,low,moderate,rare,,yes
Science & Research,Clinical Research Associate,Runs medical trials that test whether new drugs are safe and work.,undergrad,biology,5,3.0,4-8,8-16,medium,high,rare,,yes
Science & Research,Drug Discovery Scientist,Finds and tests new molecules that could become medicines.,undergrad,chemistry + biology,9,4.0,6-12,12-22,low,moderate,rare,,yes
Science & Research,Laboratory Technician,Runs the tests and keeps the instruments working in research and industrial labs.,certificate,biology,2,1.0,2-4,4-7,low,high,rare,,yes
Science & Research,Quality Control Analyst,"Tests products to check they are safe, pure and meet the standard.",undergrad,chemistry,3,2.5,2.5-5,5-9,low,high,rare,,yes
Science & Research,Computer Science Researcher,Invents the algorithms and systems that future software will be built on.,undergrad,maths,9,6.0,10-18,18-35,low,moderate,rare,,yes
Science & Research,Mathematician,"Works on pure mathematics — proofs, structures and the logic beneath everything.",undergrad,maths,9,3.0,6-12,12-24,low,low,rare,,yes
Healthcare & Medicine,Doctor,Diagnoses and treats illness — the person you see when something is wrong.,professional,physics + chemistry + biology,6,25.0,6-12,18-45,low,high,common,National Medical Commission (NMC),yes
Healthcare & Medicine,Dentist,"Treats teeth and gums — fillings, extractions, braces and oral surgery.",professional,physics + chemistry + biology,5,15.0,3-6,6-15,low,moderate,common,Dental Council of India (DCI),yes
Healthcare & Medicine,Ayurveda Doctor,Treats patients using Ayurveda — India's traditional system of medicine.,professional,physics + chemistry + biology,6,10.0,3-6,6-14,low,moderate,common,National Commission for Indian System of Medicine (NCISM),yes
Healthcare & Medicine,Homeopathy Doctor,Treats patients using homeopathy.,professional,physics + chemistry + biology,6,8.0,2.5-5,5-12,low,moderate,common,National Commission for Homoeopathy (NCH),yes
Healthcare & Medicine,Veterinary Doctor,"Treats animals — pets, livestock and wildlife.",professional,physics + chemistry + biology,6,5.0,4-7,8-16,low,moderate,common,Veterinary Council of India (VCI),yes
Healthcare & Medicine,Nurse,Cares for patients around the clock — the person who is actually there.,professional,physics + chemistry + biology,4,3.0,2.5-5,5-10,low,high,rare,Indian Nursing Council (INC),yes
Healthcare & Medicine,Pharmacist,Dispenses medicines and checks they are safe to take together.,professional,physics + chemistry,4,3.0,2.5-5,5-11,low,high,common,Pharmacy Council of India (PCI),yes
Healthcare & Medicine,Physiotherapist,"Helps people move again after injury, surgery or illness.",professional,physics + chemistry + biology,5,5.0,2.5-5,5-12,low,high,common,Physiotherapy Professional Council (NCAHP),yes
Healthcare & Medicine,Optometrist,Tests eyesight and prescribes glasses and contact lenses.,professional,physics + chemistry + biology,4,3.0,2.5-5,5-10,low,high,common,Ophthalmic Sciences Professional Council (NCAHP),yes
Healthcare & Medicine,Audiologist & Speech Therapist,Helps people who cannot hear well or struggle to speak.,professional,physics + chemistry + biology,4,4.0,3-6,6-13,low,moderate,common,Rehabilitation Council of India (RCI),yes
Healthcare & Medicine,Occupational Therapist,"Helps people relearn everyday tasks after injury, stroke or disability.",professional,physics + chemistry + biology,5,4.0,3-5.5,5.5-11,low,moderate,possible_later,Occupational Therapy Professional Council (NCAHP),yes
Healthcare & Medicine,Dietitian & Clinical Nutritionist,Plans what patients should eat to manage illness and stay well.,professional,biology,4,3.0,2.5-5,5-12,low,high,common,Nutrition Science Professional Council (NCAHP),yes
Healthcare & Medicine,Medical Laboratory Technologist,Runs the blood and sample tests doctors rely on to diagnose.,professional,physics + chemistry + biology,3,1.5,2-4,4-8,low,high,possible_later,Medical Laboratory and Life Sciences Professional Council (NCAHP),yes
Healthcare & Medicine,Radiology & Imaging Technologist,"Operates X-ray, CT and MRI machines to take images inside the body.",professional,physics + chemistry + biology,3,2.0,2.5-5,5-10,low,high,rare,"Medical Radiology, Imaging and Therapeutic Technology Professional Council (NCAHP)",yes
Healthcare & Medicine,Operation Theatre & Anaesthesia Technologist,Prepares the operating theatre and assists during surgery.,professional,physics + chemistry + biology,3,2.0,2.5-5,5-9,low,high,rare,"Trauma, Burn Care and Surgical/Anaesthesia Related Technology Professional Council (NCAHP)",yes
Healthcare & Medicine,Dialysis & Critical Care Technologist,Runs dialysis and life-support machines for very ill patients.,professional,physics + chemistry + biology,3,2.0,2.5-4.5,4.5-8,low,high,rare,Medical Technologists and Physician Associate Professional Council (NCAHP),yes
Healthcare & Medicine,Emergency Medical Technician,First to reach an emergency — keeps people alive on the way to hospital.,certificate,physics + chemistry + biology,2,1.0,2-4,4-7,low,high,rare,"Trauma, Burn Care and Surgical/Anaesthesia Related Technology Professional Council (NCAHP)",yes
Healthcare & Medicine,Public Health Professional,"Works on the health of whole populations, not one patient at a time.",undergrad,any,5,4.0,4-8,8-18,low,high,possible_later,,yes
Healthcare & Medicine,Elder & Home Care Attendant,"Looks after people who cannot fully look after themselves - at home, daily, in person.",certificate,any,1,0.3,1.5-3.0,2.4-5.4,low,high,possible_later,,NO
Healthcare & Medicine,General Duty Assistant,"The hospital ward attendant - moves, washes, feeds and watches patients, and assists nurses.",certificate,any,1,0.3,1.5-3.0,2.4-5.4,low,high,rare,,NO
"Business, Management & Entrepreneurship",Marketing Specialist,"Works out who would buy something, and how to reach them.",undergrad,any,3,3.0,3-6,8-18,high,high,common,,yes
"Business, Management & Entrepreneurship",Sales Professional,"Finds buyers, understands what they need, and closes the deal.",undergrad,any,3,3.0,3-6,7-16,medium,high,possible_later,,yes
"Business, Management & Entrepreneurship",Human Resources Professional,"Hires people, keeps them, and handles everything about working there.",undergrad,any,3,3.0,3-5.5,7-15,medium,high,possible_later,,yes
"Business, Management & Entrepreneurship",Operations & Administration Manager,Keeps an organisation actually running day to day.,undergrad,any,3,3.0,3-5.5,7-15,medium,high,rare,,yes
"Business, Management & Entrepreneurship",Supply Chain & Logistics Manager,"Plans how goods get made, stored and delivered on time.",undergrad,any,3,3.0,3.5-6,8-16,medium,high,possible_later,,yes
"Business, Management & Entrepreneurship",Logistics & Warehouse Operator,"Moves, stores and dispatches goods so orders actually arrive.",certificate,any,1,0.3,1.8-3,3.5-6,low,high,possible_later,,yes
"Business, Management & Entrepreneurship",Retail & Store Operations,"Runs the shop floor — stock, displays, billing and customers.",certificate,any,1,0.3,1.8-3.5,4-8,low,high,common,,yes
"Business, Management & Entrepreneurship",Product Manager,"Decides what a product should do next, and why.",undergrad,any,5,3.0,8-16,20-40,medium,high,possible_later,,yes
"Business, Management & Entrepreneurship",Project Manager,Gets a piece of work finished on time with the people available.,undergrad,any,4,3.0,5-9,12-24,medium,high,possible_later,,yes
"Business, Management & Entrepreneurship",Management Consultant,"Is brought in to work out why a business is stuck, and what to change.",undergrad,any,5,15.0,8-18,20-45,medium,moderate,possible_later,,yes
"Business, Management & Entrepreneurship",Market Research Analyst,"Finds out what customers actually think, and what that means for a business.",undergrad,any,3,3.0,3.5-6,8-16,medium,moderate,possible_later,,yes
"Business, Management & Entrepreneurship",Entrepreneur & Small Business Owner,Starts and runs a business — and carries the risk of it.,none,any,1,1.0,0-4,4-15,low,high,common,,yes
"Business, Management & Entrepreneurship",Commercial Vehicle Driver,"Drives goods and people for a living under a commercial licence - trucks, buses, ambulances.",none,any,1,0.5,1.8-3.6,2.4-6.0,low,high,possible_later,,NO
Finance & Economics,Chartered Accountant,"Checks that a company's accounts are true, and works out what it owes.",professional,any,5,2.0,6-12,15-35,low,high,common,Institute of Chartered Accountants of India (ICAI),yes
Finance & Economics,Accounts & Bookkeeping Executive,"Keeps the books straight — entries, invoices, GST and payroll.",certificate,any,1,0.5,2-3.5,4-8,high,high,common,,yes
Finance & Economics,Financial Analyst,Works out what a company or an investment is really worth.,undergrad,any,4,4.0,6-12,15-32,medium,high,possible_later,,yes
Finance & Economics,Banking Professional,"Works inside a bank — lending, deposits, and looking after customers' money.",undergrad,any,3,2.0,4-8,9-20,medium,high,rare,,yes
Finance & Economics,Insurance Professional,"Prices risk, and decides what a claim is really worth.",undergrad,any,3,2.0,3-6,7-15,high,high,possible_later,,yes
Finance & Economics,Investment & Wealth Manager,Manages other people's money and advises them where to put it.,undergrad,any,3,2.0,3.5-7,10-25,medium,high,common,,yes
Finance & Economics,Actuary,Uses mathematics to price risk decades into the future.,professional,any,7,3.0,5-10,18-40,low,moderate,possible_later,Institute of Actuaries of India (IAI),yes
Finance & Economics,Economist,"Studies how money, work and policy move through a whole economy.",undergrad,any,5,3.0,5-10,12-28,low,moderate,possible_later,,yes
"Law, Governance & Public Service",Lawyer,"Argues and advises on what the law allows, requires and forbids.",professional,any,5,6.0,3-10,12-35,low,high,common,Bar Council of India,yes
"Law, Governance & Public Service",Company Secretary,Makes sure a company follows the law it is required to follow.,professional,any,4,1.5,4-8,10-22,low,moderate,common,Institute of Company Secretaries of India (ICSI),yes
"Law, Governance & Public Service",Civil Services Officer,"Runs the machinery of government — a district, a department, a policy.",undergrad,any,5,2.0,8-12,15-25,low,moderate,rare,,yes
"Law, Governance & Public Service",Police Officer,"Enforces the law, investigates crime and keeps public order.",undergrad,any,4,1.0,4-8,9-18,low,high,rare,,yes
"Law, Governance & Public Service",Armed Forces Officer,"Commands soldiers, sailors or aircrew in the Indian Armed Forces.",undergrad,any,4,1.0,8-12,15-25,low,moderate,rare,,yes
"Law, Governance & Public Service",Judicial Services Officer,Sits as a judge in the district courts and decides cases.,undergrad,any,5,6.0,7-11,14-28,low,high,rare,,yes
"Law, Governance & Public Service",Public Policy Professional,Researches and designs the rules and programmes governments run on.,undergrad,any,5,6.0,5-10,12-25,medium,moderate,possible_later,,yes
"Law, Governance & Public Service",Paralegal & Legal Support Executive,"Does the research, drafting and paperwork a legal team runs on.",certificate,any,2,1.0,2.5-5,5-11,high,moderate,possible_later,,yes
"Law, Governance & Public Service",Firefighter,"Runs towards fires, collapses and accidents to get people out.",certificate,any,2,0.5,3-5,6-12,low,moderate,rare,,yes
"Law, Governance & Public Service",Patent Agent,"Writes and files patents, and argues for them at the patent office.",professional,any,5,4.0,4-9,12-28,low,moderate,common,"Controller General of Patents, Designs and Trade Marks (Register of Patent Agents)",yes
8. Design & Creative Arts,Graphic & Visual Designer,"Makes information look right and read clearly - logos, packaging, posters, brand systems.",certificate,any,2,1.5,2.5-5,6-14,high,high,common,,yes
8. Design & Creative Arts,UI/UX Designer,"Designs how an app or website works and feels, so people can use it without being taught.",undergrad,any,4,6.0,4-8,8-18,medium,high,common,,yes
8. Design & Creative Arts,Animator & VFX Artist,"Makes drawings and digital models move - for film, series, games and advertising.",undergrad,any,3,4.0,2.5-5,7-18,high,high,common,,yes
8. Design & Creative Arts,Illustrator & Concept Artist,"Draws what does not exist yet - characters, worlds, book art, comics and editorial images.",none,any,2,0.5,1.8-4,5-12,high,moderate,common,,yes
8. Design & Creative Arts,Game Designer,"Decides what a game is and how it plays - rules, levels, difficulty, economy and story.",undergrad,any,4,3.0,3.5-7,8-18,medium,moderate,possible_later,,yes
8. Design & Creative Arts,Interior Designer,"Plans the inside of homes, shops and offices - layout, light, materials and furniture.",undergrad,any,4,6.0,3-6,7-16,medium,high,common,,yes
8. Design & Creative Arts,Industrial & Product Designer,"Designs physical products - appliances, tools, vehicles, medical devices, furniture.",undergrad,any,4,8.0,4-8,8-18,low,moderate,possible_later,,yes
8. Design & Creative Arts,Fashion Designer,Designs clothing and textiles - from mass-market ranges to couture and costume.,undergrad,any,4,8.0,2.5-6,6-14,low,moderate,common,,yes
8. Design & Creative Arts,Fashion & Apparel Production Technician,"Turns a design into something a factory can actually sew - patterns, fit, samples, quality.",certificate,any,2,1.5,2.4-4.8,6-14,low,high,possible_later,,yes
8. Design & Creative Arts,Tailor & Garment Maker,Cuts and sews clothing to measure or to a pattern - the base of the whole apparel industry.,none,any,1,0.2,1.2-2.4,1.8-4.2,low,high,common,,yes
8. Design & Creative Arts,Handloom Weaver,"Weaves cloth by hand on a loom - saris, stoles and yardage, mostly at home.",none,any,1,0.15,0.4-1.2,0.6-1.8,low,moderate,common,,yes
8. Design & Creative Arts,Handicraft Artisan,"Makes objects by hand as a trade - pottery, woodwork, metalware, cane, embroidery.",none,any,2,0.1,0.6-1.8,1.2-3.6,low,moderate,common,,yes
8. Design & Creative Arts,Jewellery Designer & Goldsmith,Designs and makes jewellery - from bench work at the anvil to CAD for a retail chain.,certificate,any,2,1.0,2-4,5-14,low,high,common,,yes
8. Design & Creative Arts,Advertising Creative & Copywriter,Comes up with the idea behind an ad and writes the words that carry it.,undergrad,any,3,4.0,3-6,7-16,high,moderate,common,,yes
8. Design & Creative Arts,Fine Artist,"Makes art as the work itself - painting, sculpture, printmaking, murals, installation.",undergrad,any,4,3.0,1.2-3.0,2.4-9.0,low,low,common,,yes
8. Design & Creative Arts,Footwear & Leather Goods Designer,"Designs and makes shoes, bags and leather goods - form, fit, materials and the last.",certificate,any,2,1.8,2.4-4.8,6-15,low,moderate,common,,yes
"9. Media, Film & Storytelling",Journalist & Reporter,"Finds out what happened, checks it, and tells the public - in print, on air or online.",undergrad,any,3,3.0,2.4-5.0,6-15,medium,moderate,common,,yes
"9. Media, Film & Storytelling",Content Writer & Editor,"Writes and edits the words other people publish - websites, manuals, books, documentation.",undergrad,any,3,2.0,2.4-5.0,5-13,high,moderate,common,,yes
"9. Media, Film & Storytelling",Filmmaker & Director,"Decides what a film or series is and gets it made - story, cast, performance, final cut.",undergrad,any,6,6.0,2.0-5.0,5-18,low,moderate,common,,yes
"9. Media, Film & Storytelling",Cinematographer & Camera Professional,"Decides how a scene is lit and framed, and operates the camera that records it.",certificate,any,4,2.0,2.4-5.0,6-16,low,moderate,common,,yes
"9. Media, Film & Storytelling",Film Editor & Post-Production Professional,"Assembles the shot footage into the film - what stays, what goes, and in what order.",certificate,any,3,2.0,2.4-5.0,6-15,medium,high,common,,yes
"9. Media, Film & Storytelling",Sound Designer & Audio Engineer,"Builds everything you hear that is not music - dialogue, effects, atmosphere, the mix.",certificate,any,3,2.0,2.4-4.8,5-14,medium,moderate,common,,yes
"9. Media, Film & Storytelling",Photographer & Videographer,"Records what is in front of the lens - weddings, products, wildlife, news, people.",certificate,any,2,2.0,1.8-4.2,4-12,low,high,common,,yes
"9. Media, Film & Storytelling",Production Designer & Art Director (Film),"Builds the world a story is filmed in - sets, locations, props, the look of the place.",undergrad,any,4,4.0,2.0-4.5,5-14,low,moderate,common,,yes
"9. Media, Film & Storytelling",Digital Content Creator,"Makes and publishes their own video, audio or writing to an audience they built themselves.",none,any,2,0.5,0.6-3.0,2.4-12,medium,high,common,,yes
"9. Media, Film & Storytelling",Voice Artist & Broadcast Presenter,"Works with the voice - dubbing, narration, radio, hosting, commentary and announcements.",none,any,2,1.0,1.8-4.2,4-12,medium,moderate,common,,yes
"9. Media, Film & Storytelling",Public Relations & Communications Professional,"Decides what an organisation says in public, and gets it said - press, crisis, reputation.",undergrad,any,3,3.0,3.0-6.0,7-16,medium,high,possible_later,,yes
"9. Media, Film & Storytelling",Production Crew & Studio Technician,"The crew that makes a shoot physically happen - rigging, grip, power, sets, studio floor.",certificate,any,1,0.3,1.2-3.0,2.4-6.0,low,moderate,possible_later,,NO
10. Performing Arts & Music,Musician & Instrumentalist,"Performs music for a living - on stage, in a studio, at a temple, or at a wedding.",none,any,6,1.5,1.2-3.6,2.4-9.0,low,moderate,common,,yes
10. Performing Arts & Music,Music Producer & Composer,"Writes and builds the music itself - for film, advertising, artists and their own releases.",none,any,4,2.0,1.8-4.2,4-14,medium,moderate,common,,yes
10. Performing Arts & Music,Dancer & Choreographer,"Performs and creates dance - classical, film, contemporary, folk and commercial.",none,any,6,1.5,1.2-3.0,2.4-9.0,low,moderate,common,,yes
10. Performing Arts & Music,Actor & Performer,"Plays a part in front of an audience or a camera - stage, screen, television or ad film.",none,any,5,2.0,1.2-3.6,2.4-12,low,moderate,common,,yes
10. Performing Arts & Music,DJ & Electronic Music Performer,"Reads a room and plays music live to it - clubs, weddings, festivals and events.",none,any,2,2.5,1.8-4.8,4-15,medium,high,common,,yes
10. Performing Arts & Music,Folk & Traditional Performer,"Performs an inherited regional form - wedding bands, temple music, folk theatre, processions.",none,any,2,0.2,0.6-2.4,1.2-4.2,low,moderate,common,,yes
10. Performing Arts & Music,Live Sound & Stage Technician,"Makes a live show work - sound, lights, rigging, staging and the running of the event.",certificate,any,2,1.0,1.8-3.6,3.6-9.0,low,high,possible_later,,yes
10. Performing Arts & Music,Musical Instrument Maker & Repairer,"Builds, tunes and repairs instruments - sitars, tablas, harmoniums, guitars, pianos.",none,any,3,0.5,1.2-3.0,2.4-7.2,low,low,common,,yes
10. Performing Arts & Music,Theatre Practitioner & Director,"Makes theatre happen - directing, writing plays, producing and running a company.",undergrad,any,5,2.0,1.2-3.0,2.4-9.0,low,low,common,,yes
11. Sports & Fitness,Professional Athlete,"Competes in a sport for a living - through a league, a federation, or a sports quota job.",none,any,8,3.0,1.2-4.8,3.0-12.0,low,low,common,,yes
11. Sports & Fitness,Sports Coach,"Trains athletes and teams to perform - technique, tactics, conditioning and selection.",certificate,any,3,1.5,1.8-4.2,4-14,low,moderate,common,,yes
11. Sports & Fitness,Fitness Trainer & Instructor,"Gets ordinary people fitter and keeps them safe doing it - gyms, studios, homes, online.",certificate,any,2,0.8,1.8-4.2,3.6-10.0,low,high,common,,yes
11. Sports & Fitness,Sports Official & Referee,"Runs the competition itself - refereeing, umpiring, judging, timing and scoring.",certificate,any,3,0.5,0.6-2.4,1.8-8.0,low,low,common,,yes
